OWNER,TABLE_NAME
FUSION,FA_RESERVE_TRANSFERS_V
FUSION,FA_TRANSACTIONS_V
FUSION,ARB_PAYMENT_AUDIT
FUSION,ARB_PREFERENCE_ITEMS
FUSION,ARB_PREFERENCE_ITEMS_
FUSION,ARB_REG_ACCESS_DETAILS
FUSION,ARB_REG_ACCESS_REQUESTS
FUSION,ARB_REG_LDAP_REQUESTS
FUSION,ARB_REG_PROVISIONABLE_ROLES
FUSION,ARB_REG_ROLE_REQUESTS
FUSION,ARB_REG_USER_PROFILES
FUSION,ARB_SYSTEM_PARAMETERS
FUSION,ARB_SYSTEM_PARAMETERS_
FUSION,ARB_USER_ACCT_SITES_GT
FUSION,ARB_FUNDS_CAPTURE_ORDERS_V
FUSION,ARB_LOOKUPS
FUSION,ARB_USER_ACCT_SITES_V
FUSION,XCC_ACCOUNT_GROUPS
FUSION,XCC_ACCOUNT_GROUP_DETAILS
FUSION,XCC_ACCT_GROUP_USER_PREFS
FUSION,XCC_ARCHIVE_PURGE_GT
FUSION,XCC_BALANCES
FUSION,XCC_BALANCES_CUBES
FUSION,XCC_BALANCE_ACTIVITIES
FUSION,XCC_BALANCE_ACTIVITIES_HISTORY
FUSION,XCC_BALANCE_RECALC_GT
FUSION,XCC_BCE_BUSINESS_FUNCTIONS
FUSION,XCC_BCE_BUSINESS_FUNCTIONS_
FUSION,XCC_BCE_BUSINESS_UNITS
FUSION,XCC_BCE_BUSINESS_UNITS_
FUSION,XCC_BCE_CASH_ACCOUNTS
FUSION,XCC_BCE_CASH_ACCOUNTS_
FUSION,XCC_BCE_DOCUMENT_TYPES
FUSION,XCC_BCE_DOCUMENT_TYPES_
FUSION,XCC_BCE_JOURNAL_CATEGORIES
FUSION,XCC_BCE_JOURNAL_CATEGORIES_
FUSION,XCC_BCE_JOURNAL_SOURCES
FUSION,XCC_BCE_JOURNAL_SOURCES_
FUSION,XCC_BCE_LEDGERS
FUSION,XCC_BCE_LEDGERS_
FUSION,XCC_BCE_TRANSACTION_SOURCES
FUSION,XCC_BCE_TRANSACTION_SOURCES_
FUSION,XCC_BCE_TRANSACTION_TYPES
FUSION,XCC_BCE_TRANSACTION_TYPES_
FUSION,XCC_BC_BUSINESS_FUNCTIONS
FUSION,XCC_BC_DISABLE_JE_SOURCES
FUSION,XCC_BC_REPROCESS_DATASETS_GT
FUSION,XCC_BC_SOURCE_DEFINITIONS
FUSION,XCC_BC_TRANSACTION_SUBTYPES
FUSION,XCC_BC_TRANSACTION_TYPES
FUSION,XCC_BC_TR_REPROCESS_LINES
FUSION,XCC_BUDGET_ACCOUNTS
FUSION,XCC_BUDGET_DATA_SETS_GT
FUSION,XCC_BUDGET_DIST_ACCTS
FUSION,XCC_BUDGET_DIST_ACCTS_GT
FUSION,XCC_BUDGET_DIST_ACCTS_HISTORY
FUSION,XCC_BUDGET_DIST_HDRS_HISTORY
FUSION,XCC_BUDGET_DIST_HEADERS
FUSION,XCC_BUDGET_DIST_LINES
FUSION,XCC_BUDGET_DIST_LINES_HISTORY
FUSION,XCC_BUDGET_ENTRY_INTERFACE
FUSION,XCC_BUDGET_INTERFACE
FUSION,XCC_BUDGET_MULTI_PERIOD_GT
FUSION,XCC_BUDGET_MULTI_PERIOD_INT
FUSION,XCC_CB_COMPILED_RULES
FUSION,XCC_CB_FILTER_USAGES_GT
FUSION,XCC_CB_FLAT_SEGMENTS
FUSION,XCC_CB_KEY_SEGMENTS
FUSION,XCC_CB_KEY_SEGMENTS_
FUSION,XCC_CB_KEY_SEG_TREE_VERSIONS
FUSION,XCC_CB_KEY_SEG_TREE_VERSIONS_
FUSION,XCC_CB_OVERRIDE_COMPILED
FUSION,XCC_CB_OVERRIDE_JOURNALS
FUSION,XCC_CB_OVERRIDE_JOURNALS_
FUSION,XCC_CB_OVERRIDE_RULES
FUSION,XCC_CB_OVERRIDE_RULES_
FUSION,XCC_CB_OVERRIDE_TRANS_TYPES
FUSION,XCC_CB_OVERRIDE_TRANS_TYPES_
FUSION,XCC_CB_OVERRIDE_USERS
FUSION,XCC_CB_OVERRIDE_USERS_
FUSION,XCC_CB_PERIOD_STATUSES
FUSION,XCC_CB_RULES
FUSION,XCC_CB_RULES_
FUSION,XCC_CB_RULE_FILTER_CONDITIONS
FUSION,XCC_CB_RULE_FILTER_CONDITIONS_
FUSION,XCC_CB_RULE_FILTER_COND_VALS
FUSION,XCC_CB_RULE_FILTER_COND_VALS_
FUSION,XCC_CB_SUMRY_PERIOD_MAPPINGS
FUSION,XCC_CF_TRANSACTIONS
FUSION,XCC_CF_TRANSACTION_ERRORS
FUSION,XCC_CONTROL_BUDGETS
FUSION,XCC_CONTROL_BUDGETS_
FUSION,XCC_CONTROL_BUDGETS_GT
FUSION,XCC_CONTROL_BUDGETS_PRIVATE_GT
FUSION,XCC_CONTROL_BUDGET_ERRORS
FUSION,XCC_CUBE_TREE_VERSIONS
FUSION,XCC_DATA_SETS
FUSION,XCC_EPM_BUDGET_INT
FUSION,XCC_ESSBASE_BAL_ROWS
