OWNER|SYNONYM_NAME|TABLE_OWNER|TABLE_NAME|DB_LINK
FUSION|ADXX_DOO_PC_HL_LINELINCNC|FUSION_DYNAMIC|ADXX_DOO_PC_HL_LINELINCNC|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_ADN|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_CGO|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_FLQ|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_INV|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_MOD|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_PRJ|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_REQ|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_SET|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_SPS|
FUSION|ADXX_DOO_PC_LF_FLINEDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEDOO_SSD|
FUSION|ADXX_DOO_PC_LF_FLINEFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNARN|
FUSION|ADXX_DOO_PC_LF_FLINEFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNBIL|
FUSION|ADXX_DOO_PC_LF_FLINEFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNCLS|
FUSION|ADXX_DOO_PC_LF_FLINEFLNCNC|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNCNC|
FUSION|ADXX_DOO_PC_LF_FLINEFLNCNQN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNCNQN|
FUSION|ADXX_DOO_PC_LF_FLINEFLNFUL|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNFUL|
FUSION|ADXX_DOO_PC_LF_FLINEFLNIRN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNIRN|
FUSION|ADXX_DOO_PC_LF_FLINEFLNORGN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNORGN|
FUSION|ADXX_DOO_PC_LF_FLINEFLNPMTN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNPMTN|
FUSION|ADXX_DOO_PC_LF_FLINEFLNRCV|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNRCV|
FUSION|ADXX_DOO_PC_LF_FLINEFLNRDN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNRDN|
FUSION|ADXX_DOO_PC_LF_FLINEFLNSDTN|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNSDTN|
